Symbol,Day High,Day Low,Last Price,Change,PChange
NIFTY 50,24677.8,24510.65,24610.05,-8.950000000000728,-0.04
SHRIRAMFIN,3197.15,3109.0,3181.6,74.7,2.4
BAJAJFINSV,1673.0,1637.1,1664.0,26.95,1.65
HCLTECH,1942.8,1912.2,1937.0,27.1,1.42
WIPRO,311.0,303.45,308.0,4.25,1.4
INFY,1965.6,1932.0,1947.1,23.45,1.22
SBIN,868.95,858.05,868.3,10.25,1.19
BAJFINANCE,6958.85,6844.05,6935.0,66.65,0.97
APOLLOHOSP,7308.45,7215.2,7263.0,69.15,0.96
KOTAKBANK,1802.8,1783.25,1799.1,12.85,0.72
ICICIBANK,1332.0,1315.25,1331.35,9.05,0.68
M&M,3081.25,3005.3,3066.0,14.75,0.48
COALINDIA,417.2,411.5,415.5,1.5,0.36
TITAN,3516.95,3436.05,3479.9,11.7,0.34
TATASTEEL,152.5,149.31,150.38,0.5,0.33
TATAMOTORS,810.45,797.45,801.0,2.25,0.28
SUNPHARMA,1823.0,1796.0,1809.0,2.35,0.13
BRITANNIA,4829.95,4783.05,4799.0,6.0,0.13
JSWSTEEL,1023.5,1006.65,1013.1,1.2,0.12
INDUSINDBK,988.4,979.1,983.6,1.0,0.1
ITC,466.45,462.6,465.35,0.4,0.09
BEL,318.3,314.0,314.8,0.2,0.06
ASIANPAINT,2404.65,2385.05,2392.6,0.75,0.03
HEROMOTOCO,4614.95,4561.7,4597.0,1.05,0.02
HINDUNILVR,2413.0,2388.3,2399.45,-1.3,-0.05
HDFCBANK,1877.7,1858.55,1867.65,-2.35,-0.13
BPCL,306.7,300.85,303.0,-0.45,-0.15
HINDALCO,676.0,664.7,669.8,-1.1,-0.16
NTPC,371.2,366.4,368.9,-0.95,-0.26
TCS,4493.8,4412.1,4437.8,-14.35,-0.32
POWERGRID,331.85,325.35,328.0,-1.1,-0.33
NESTLEIND,2240.0,2210.0,2219.0,-9.85,-0.44
ULTRACEMCO,11807.1,11695.0,11760.0,-54.8,-0.46
SBILIFE,1483.9,1451.6,1462.0,-7.3,-0.5
TATACONSUM,938.6,925.2,929.3,-4.65,-0.5
MARUTI,11314.35,11170.0,11219.8,-60.0,-0.53
EICHERMOT,4874.9,4797.5,4815.6,-26.5,-0.55
LT,3963.5,3901.3,3922.95,-24.35,-0.62
BAJAJ-AUTO,9094.9,8980.0,9013.65,-63.8,-0.7
AXISBANK,1165.05,1151.25,1155.0,-8.25,-0.71
RELIANCE,1294.9,1280.2,1285.95,-9.2,-0.71
CIPLA,1479.0,1452.3,1457.0,-12.0,-0.82
ONGC,258.75,254.5,256.7,-2.2,-0.85
TECHM,1777.0,1753.3,1762.15,-15.7,-0.88
GRASIM,2708.0,2641.1,2654.0,-27.4,-1.02
TRENT,6959.95,6810.0,6875.0,-74.7,-1.07
HDFCLIFE,644.45,630.35,634.8,-7.0,-1.09
ADANIENT,2501.0,2455.0,2467.5,-28.35,-1.14
ADANIPORTS,1272.9,1244.4,1252.0,-14.85,-1.17
DRREDDY,1253.6,1233.0,1238.4,-16.75,-1.33
BHARTIARTL,1611.85,1570.05,1580.05,-22.5,-1.4
